root,case,robots,control_hz,repeat,deadline_ms,attainment_percent
serving_slo_actions_20260917,r4_hz10_rep3,4,10.0,3,500,100.0
serving_slo_actions_20260917,r4_hz10_rep3,4,10.0,3,1000,100.0
serving_slo_actions_20260917,r4_hz10_rep4,4,10.0,4,156,0.0
serving_slo_actions_20260917,r4_hz10_rep4,4,10.0,4,200,6.875
serving_slo_actions_20260917,r4_hz10_rep4,4,10.0,4,250,35.0
serving_slo_actions_20260917,r4_hz10_rep4,4,10.0,4,500,100.0
serving_slo_actions_20260917,r4_hz10_rep4,4,10.0,4,1000,100.0
serving_slo_actions_20260917,r4_hz40_rep0,4,40.0,0,156,15.0
serving_slo_actions_20260917,r4_hz40_rep0,4,40.0,0,200,21.875
serving_slo_actions_20260917,r4_hz40_rep0,4,40.0,0,250,39.375
serving_slo_actions_20260917,r4_hz40_rep0,4,40.0,0,500,99.375
serving_slo_actions_20260917,r4_hz40_rep0,4,40.0,0,1000,100.0
serving_slo_actions_20260917,r4_hz40_rep1,4,40.0,1,156,0.0
serving_slo_actions_20260917,r4_hz40_rep1,4,40.0,1,200,8.125
serving_slo_actions_20260917,r4_hz40_rep1,4,40.0,1,250,21.875
serving_slo_actions_20260917,r4_hz40_rep1,4,40.0,1,500,94.375
serving_slo_actions_20260917,r4_hz40_rep1,4,40.0,1,1000,98.125
serving_slo_actions_20260917,r4_hz40_rep2,4,40.0,2,156,0.0
serving_slo_actions_20260917,r4_hz40_rep2,4,40.0,2,200,0.625
serving_slo_actions_20260917,r4_hz40_rep2,4,40.0,2,250,31.875
serving_slo_actions_20260917,r4_hz40_rep2,4,40.0,2,500,96.875
serving_slo_actions_20260917,r4_hz40_rep2,4,40.0,2,1000,99.375
serving_slo_actions_20260917,r4_hz40_rep3,4,40.0,3,156,0.0
serving_slo_actions_20260917,r4_hz40_rep3,4,40.0,3,200,10.625
serving_slo_actions_20260917,r4_hz40_rep3,4,40.0,3,250,46.875
serving_slo_actions_20260917,r4_hz40_rep3,4,40.0,3,500,96.875
serving_slo_actions_20260917,r4_hz40_rep3,4,40.0,3,1000,100.0
serving_slo_actions_20260917,r4_hz40_rep4,4,40.0,4,156,10.625
serving_slo_actions_20260917,r4_hz40_rep4,4,40.0,4,200,20.625
serving_slo_actions_20260917,r4_hz40_rep4,4,40.0,4,250,44.375
serving_slo_actions_20260917,r4_hz40_rep4,4,40.0,4,500,100.0
serving_slo_actions_20260917,r4_hz40_rep4,4,40.0,4,1000,100.0
